hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
52o,SB,opening_raise,0.090868,6,500000,0.000000,0.090071,0.091665,false
42o,SB,opening_raise,0.088224,6,500000,0.000000,0.087438,0.089010,false
63o,SB,opening_raise,0.087558,6,500000,0.000000,0.086775,0.088341,false
94o,SB,opening_raise,0.087226,6,500000,0.000000,0.086444,0.088008,false
93o,SB,opening_raise,0.085222,6,500000,0.000000,0.084448,0.085996,false
32o,SB,opening_raise,0.084772,6,500000,0.000000,0.084000,0.085544,false
92o,SB,opening_raise,0.084338,6,500000,0.000000,0.083568,0.085108,false
73o,SB,opening_raise,0.083424,6,500000,0.000000,0.082658,0.084190,false
83o,SB,opening_raise,0.079794,6,500000,0.000000,0.079043,0.080545,false
82o,SB,opening_raise,0.078846,6,500000,0.000000,0.078099,0.079593,false
62o,SB,opening_raise,0.076274,6,500000,0.000000,0.075538,0.077010,false
72o,SB,opening_raise,0.073280,6,500000,0.000000,0.072558,0.074002,false
