hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
A5o,MP2,opening_raise,0.106269,9,1000000,0.000000,0.105665,0.106873,false
T6s,MP2,opening_raise,0.106041,9,1000000,0.000000,0.105438,0.106644,false
A4o,MP2,opening_raise,0.105978,9,1000000,0.000000,0.105375,0.106581,false
A8o,MP2,opening_raise,0.105407,9,1000000,0.000000,0.104805,0.106009,false
85s,MP2,opening_raise,0.104925,9,1000000,0.000000,0.104324,0.105526,false
64s,MP2,opening_raise,0.104820,9,1000000,0.000000,0.104220,0.105420,false
JTo,MP2,opening_raise,0.104704,9,1000000,0.000000,0.104104,0.105304,false
J6s,MP2,opening_raise,0.104685,9,1000000,0.000000,0.104085,0.105285,false
43s,MP2,opening_raise,0.104299,9,1000000,0.000000,0.103700,0.104898,false
J5s,MP2,opening_raise,0.102793,9,1000000,0.000000,0.102198,0.103388,false
J4s,MP2,opening_raise,0.102054,9,1000000,0.000000,0.101461,0.102647,false
J3s,MP2,opening_raise,0.101657,9,1000000,0.000000,0.101065,0.102249,false
J2s,MP2,opening_raise,0.101269,9,1000000,0.000000,0.100678,0.101860,false
98o,MP2,opening_raise,0.100486,9,1000000,0.000000,0.099897,0.101075,false
74s,MP2,opening_raise,0.100368,9,1000000,0.000000,0.099779,0.100957,false
A7o,MP2,opening_raise,0.100345,9,1000000,0.000000,0.099756,0.100934,false
T9o,MP2,opening_raise,0.100017,9,1000000,0.000000,0.099429,0.100605,false
95s,MP2,opening_raise,0.099879,9,1000000,0.000000,0.099291,0.100467,false
52s,MP2,opening_raise,0.099052,9,1000000,0.000000,0.098466,0.099638,false
Q9o,MP2,opening_raise,0.098456,9,1000000,0.000000,0.097872,0.099040,false
J9o,MP2,opening_raise,0.098106,9,1000000,0.000000,0.097523,0.098689,false
K9o,MP2,opening_raise,0.097836,9,1000000,0.000000,0.097254,0.098418,false
42s,MP2,opening_raise,0.097680,9,1000000,0.000000,0.097098,0.098262,false
T5s,MP2,opening_raise,0.096583,9,1000000,0.000000,0.096004,0.097162,false
A6o,MP2,opening_raise,0.096278,9,1000000,0.000000,0.095700,0.096856,false
84s,MP2,opening_raise,0.096003,9,1000000,0.000000,0.095426,0.096580,false
T8o,MP2,opening_raise,0.095776,9,1000000,0.000000,0.095199,0.096353,false
32s,MP2,opening_raise,0.095695,9,1000000,0.000000,0.095118,0.096272,false
T4s,MP2,opening_raise,0.095691,9,1000000,0.000000,0.095114,0.096268,false
