hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
A3s,BTN,opening_raise,0.210953,6,1000000,0.000000,0.210153,0.211753,true
QTs,BTN,opening_raise,0.210033,6,1000000,0.000000,0.209235,0.210831,true
A7s,BTN,opening_raise,0.208668,6,1000000,0.000000,0.207872,0.209464,true
KQo,BTN,opening_raise,0.208018,6,1000000,0.000000,0.207222,0.208814,true
77,BTN,opening_raise,0.206667,6,1000000,0.000000,0.205873,0.207461,true
JTs,BTN,opening_raise,0.203852,6,1000000,0.000000,0.203062,0.204642,true
K9s,BTN,opening_raise,0.202959,6,1000000,0.000000,0.202171,0.203747,true
ATo,BTN,opening_raise,0.202281,6,1000000,0.000000,0.201494,0.203068,true
A6s,BTN,opening_raise,0.201534,6,1000000,0.000000,0.200748,0.202320,true
Q9s,BTN,opening_raise,0.198977,6,1000000,0.000000,0.198195,0.199759,true
J9s,BTN,opening_raise,0.195098,6,1000000,0.000000,0.194321,0.195875,true
K8s,BTN,opening_raise,0.194169,6,1000000,0.000000,0.193394,0.194944,true
T9s,BTN,opening_raise,0.192698,6,1000000,0.000000,0.191925,0.193471,true
KJo,BTN,opening_raise,0.190653,6,1000000,0.000000,0.189883,0.191423,true
Q8s,BTN,opening_raise,0.190439,6,1000000,0.000000,0.189669,0.191209,true
A9o,BTN,opening_raise,0.188128,6,1000000,0.000000,0.187362,0.188894,true
66,BTN,opening_raise,0.187596,6,1000000,0.000000,0.186831,0.188361,true
J8s,BTN,opening_raise,0.187042,6,1000000,0.000000,0.186278,0.187806,true
98s,BTN,opening_raise,0.186765,6,1000000,0.000000,0.186001,0.187529,true
K7s,BTN,opening_raise,0.186062,6,1000000,0.000000,0.185299,0.186825,true
T8s,BTN,opening_raise,0.185439,6,1000000,0.000000,0.184677,0.186201,true
QJo,BTN,opening_raise,0.185033,6,1000000,0.000000,0.184272,0.185794,true
K6s,BTN,opening_raise,0.179617,6,1000000,0.000000,0.178865,0.180369,true
KTo,BTN,opening_raise,0.177424,6,1000000,0.000000,0.176675,0.178173,true
55,BTN,opening_raise,0.176947,6,1000000,0.000000,0.176199,0.177695,true
A8o,BTN,opening_raise,0.176687,6,1000000,0.000000,0.175939,0.177435,true
K5s,BTN,opening_raise,0.176530,6,1000000,0.000000,0.175783,0.177277,true
K4s,BTN,opening_raise,0.174615,6,1000000,0.000000,0.173871,0.175359,true
K3s,BTN,opening_raise,0.174284,6,1000000,0.000000,0.173540,0.175028,true
K2s,BTN,opening_raise,0.173488,6,1000000,0.000000,0.172746,0.174230,true
QTo,BTN,opening_raise,0.172822,6,1000000,0.000000,0.172081,0.173563,true
Q7s,BTN,opening_raise,0.170053,6,1000000,0.000000,0.169317,0.170789,true
A5o,BTN,opening_raise,0.169751,6,1000000,0.000000,0.169015,0.170487,true
87s,BTN,opening_raise,0.169507,6,1000000,0.000000,0.168772,0.170242,true
A2o,BTN,opening_raise,0.169038,6,1000000,0.000000,0.168303,0.169773,true
A4o,BTN,opening_raise,0.168606,6,1000000,0.000000,0.167872,0.169340,true
A3o,BTN,opening_raise,0.168499,6,1000000,0.000000,0.167765,0.169233,true
JTo,BTN,opening_raise,0.168186,6,1000000,0.000000,0.167453,0.168919,true
A7o,BTN,opening_raise,0.167685,6,1000000,0.000000,0.166953,0.168417,true
44,BTN,opening_raise,0.166703,6,1000000,0.000000,0.165972,0.167434,true
J7s,BTN,opening_raise,0.166542,6,1000000,0.000000,0.165812,0.167272,true
97s,BTN,opening_raise,0.165943,6,1000000,0.000000,0.165214,0.166672,true
K9o,BTN,opening_raise,0.164903,6,1000000,0.000000,0.164176,0.165630,true
T7s,BTN,opening_raise,0.164818,6,1000000,0.000000,0.164091,0.165545,true
Q6s,BTN,opening_raise,0.164411,6,1000000,0.000000,0.163685,0.165137,true
33,BTN,opening_raise,0.162164,6,1000000,0.000000,0.161442,0.162886,true
Q5s,BTN,opening_raise,0.161300,6,1000000,0.000000,0.160579,0.162021,true
Q9o,BTN,opening_raise,0.160445,6,1000000,0.000000,0.159726,0.161164,true
Q4s,BTN,opening_raise,0.159807,6,1000000,0.000000,0.159089,0.160525,false
A6o,BTN,opening_raise,0.159439,6,1000000,0.000000,0.158721,0.160157,true
Q3s,BTN,opening_raise,0.159141,6,1000000,0.000000,0.158424,0.159858,false
Q2s,BTN,opening_raise,0.157851,6,1000000,0.000000,0.157136,0.158566,false
22,BTN,opening_raise,0.157276,6,1000000,0.000000,0.156562,0.157990,true
J9o,BTN,opening_raise,0.156770,6,1000000,0.000000,0.156057,0.157483,true
T9o,BTN,opening_raise,0.155471,6,1000000,0.000000,0.154761,0.156181,true
86s,BTN,opening_raise,0.154444,6,1000000,0.000000,0.153736,0.155152,true
K8o,BTN,opening_raise,0.152726,6,1000000,0.000000,0.152021,0.153431,false
76s,BTN,opening_raise,0.152458,6,1000000,0.000000,0.151753,0.153163,true
96s,BTN,opening_raise,0.151324,6,1000000,0.000000,0.150622,0.152026,true
J6s,BTN,opening_raise,0.150763,6,1000000,0.000000,0.150062,0.151464,false
Q8o,BTN,opening_raise,0.150743,6,1000000,0.000000,0.150042,0.151444,false
54s,BTN,opening_raise,0.150596,6,1000000,0.000000,0.149895,0.151297,true
65s,BTN,opening_raise,0.150025,6,1000000,0.000000,0.149325,0.150725,true
98o,BTN,opening_raise,0.149946,6,1000000,0.000000,0.149246,0.150646,false
T6s,BTN,opening_raise,0.149593,6,1000000,0.000000,0.148894,0.150292,false
J8o,BTN,opening_raise,0.148662,6,1000000,0.000000,0.147965,0.149359,false
J5s,BTN,opening_raise,0.148531,6,1000000,0.000000,0.147834,0.149228,false
75s,BTN,opening_raise,0.148146,6,1000000,0.000000,0.147450,0.148842,true
T8o,BTN,opening_raise,0.148026,6,1000000,0.000000,0.147330,0.148722,false
J4s,BTN,opening_raise,0.147225,6,1000000,0.000000,0.146531,0.147919,false
J3s,BTN,opening_raise,0.145794,6,1000000,0.000000,0.145102,0.146486,false
J2s,BTN,opening_raise,0.144810,6,1000000,0.000000,0.144120,0.145500,false
K7o,BTN,opening_raise,0.144448,6,1000000,0.000000,0.143759,0.145137,false
85s,BTN,opening_raise,0.144103,6,1000000,0.000000,0.143415,0.144791,true
53s,BTN,opening_raise,0.141440,6,1000000,0.000000,0.140757,0.142123,true
64s,BTN,opening_raise,0.140619,6,1000000,0.000000,0.139938,0.141300,true
95s,BTN,opening_raise,0.139987,6,1000000,0.000000,0.139307,0.140667,false
T5s,BTN,opening_raise,0.138528,6,1000000,0.000000,0.137851,0.139205,false
43s,BTN,opening_raise,0.137549,6,1000000,0.000000,0.136874,0.138224,true
T4s,BTN,opening_raise,0.137424,6,1000000,0.000000,0.136749,0.138099,false
K6o,BTN,opening_raise,0.136709,6,1000000,0.000000,0.136036,0.137382,false
74s,BTN,opening_raise,0.136018,6,1000000,0.000000,0.135346,0.136690,true
T3s,BTN,opening_raise,0.135877,6,1000000,0.000000,0.135205,0.136549,false
T2s,BTN,opening_raise,0.134509,6,1000000,0.000000,0.133840,0.135178,false
K5o,BTN,opening_raise,0.133497,6,1000000,0.000000,0.132830,0.134164,false
84s,BTN,opening_raise,0.132625,6,1000000,0.000000,0.131960,0.133290,false
87o,BTN,opening_raise,0.132043,6,1000000,0.000000,0.131379,0.132707,false
K4o,BTN,opening_raise,0.131005,6,1000000,0.000000,0.130344,0.131666,false
52s,BTN,opening_raise,0.130362,6,1000000,0.000000,0.129702,0.131022,true
K3o,BTN,opening_raise,0.130265,6,1000000,0.000000,0.129605,0.130925,false
K2o,BTN,opening_raise,0.129779,6,1000000,0.000000,0.129120,0.130438,false
63s,BTN,opening_raise,0.128922,6,1000000,0.000000,0.128265,0.129579,false
Q7o,BTN,opening_raise,0.128612,6,1000000,0.000000,0.127956,0.129268,false
42s,BTN,opening_raise,0.128514,6,1000000,0.000000,0.127858,0.129170,false
94s,BTN,opening_raise,0.128401,6,1000000,0.000000,0.127745,0.129057,false
97o,BTN,opening_raise,0.128299,6,1000000,0.000000,0.127644,0.128954,false
93s,BTN,opening_raise,0.127705,6,1000000,0.000000,0.127051,0.128359,false
92s,BTN,opening_raise,0.126279,6,1000000,0.000000,0.125628,0.126930,false
32s,BTN,opening_raise,0.126101,6,1000000,0.000000,0.125450,0.126752,false
T7o,BTN,opening_raise,0.125856,6,1000000,0.000000,0.125206,0.126506,false
J7o,BTN,opening_raise,0.125573,6,1000000,0.000000,0.124924,0.126222,false
73s,BTN,opening_raise,0.125019,6,1000000,0.000000,0.124371,0.125667,false
Q6o,BTN,opening_raise,0.122543,6,1000000,0.000000,0.121900,0.123186,false
83s,BTN,opening_raise,0.122181,6,1000000,0.000000,0.121539,0.122823,false
82s,BTN,opening_raise,0.120844,6,1000000,0.000000,0.120205,0.121483,false
62s,BTN,opening_raise,0.118759,6,1000000,0.000000,0.118125,0.119393,false
Q5o,BTN,opening_raise,0.118709,6,1000000,0.000000,0.118075,0.119343,false
Q4o,BTN,opening_raise,0.116783,6,1000000,0.000000,0.116154,0.117412,false
86o,BTN,opening_raise,0.116040,6,1000000,0.000000,0.115412,0.116668,false
Q3o,BTN,opening_raise,0.115250,6,1000000,0.000000,0.114624,0.115876,false
Q2o,BTN,opening_raise,0.114980,6,1000000,0.000000,0.114355,0.115605,false
72s,BTN,opening_raise,0.114859,6,1000000,0.000000,0.114234,0.115484,false
76o,BTN,opening_raise,0.114835,6,1000000,0.000000,0.114210,0.115460,false
54o,BTN,opening_raise,0.112397,6,1000000,0.000000,0.111778,0.113016,false
96o,BTN,opening_raise,0.111102,6,1000000,0.000000,0.110486,0.111718,false
65o,BTN,opening_raise,0.111078,6,1000000,0.000000,0.110462,0.111694,false
J6o,BTN,opening_raise,0.109793,6,1000000,0.000000,0.109180,0.110406,false
T6o,BTN,opening_raise,0.109265,6,1000000,0.000000,0.108654,0.109876,false
75o,BTN,opening_raise,0.108210,6,1000000,0.000000,0.107601,0.108819,false
J5o,BTN,opening_raise,0.106652,6,1000000,0.000000,0.106047,0.107257,false
J4o,BTN,opening_raise,0.104983,6,1000000,0.000000,0.104382,0.105584,false
85o,BTN,opening_raise,0.103698,6,1000000,0.000000,0.103100,0.104296,false
J3o,BTN,opening_raise,0.103230,6,1000000,0.000000,0.102634,0.103826,false
J2o,BTN,opening_raise,0.102306,6,1000000,0.000000,0.101712,0.102900,false
53o,BTN,opening_raise,0.101762,6,1000000,0.000000,0.101169,0.102355,false
64o,BTN,opening_raise,0.100265,6,1000000,0.000000,0.099676,0.100854,false
95o,BTN,opening_raise,0.099342,6,1000000,0.000000,0.098756,0.099928,false
43o,BTN,opening_raise,0.097216,6,1000000,0.000000,0.096635,0.097797,false
T5o,BTN,opening_raise,0.096723,6,1000000,0.000000,0.096144,0.097302,false
74o,BTN,opening_raise,0.096236,6,1000000,0.000000,0.095658,0.096814,false
T4o,BTN,opening_raise,0.095033,6,1000000,0.000000,0.094458,0.095608,false
T3o,BTN,opening_raise,0.092955,6,1000000,0.000000,0.092386,0.093524,false
84o,BTN,opening_raise,0.091541,6,1000000,0.000000,0.090976,0.092106,false
T2o,BTN,opening_raise,0.091360,6,1000000,0.000000,0.090795,0.091925,false
52o,BTN,opening_raise,0.091058,6,1000000,0.000000,0.090494,0.091622,false
63o,BTN,opening_raise,0.088503,6,1000000,0.000000,0.087946,0.089060,false
42o,BTN,opening_raise,0.088085,6,1000000,0.000000,0.087529,0.088641,false
94o,BTN,opening_raise,0.086824,6,1000000,0.000000,0.086272,0.087376,false
93o,BTN,opening_raise,0.084771,6,1000000,0.000000,0.084225,0.085317,false
32o,BTN,opening_raise,0.084668,6,1000000,0.000000,0.084122,0.085214,false
92o,BTN,opening_raise,0.083751,6,1000000,0.000000,0.083208,0.084294,false
73o,BTN,opening_raise,0.083424,6,1000000,0.000000,0.082882,0.083966,false
83o,BTN,opening_raise,0.079954,6,1000000,0.000000,0.079422,0.080486,false
82o,BTN,opening_raise,0.077955,6,1000000,0.000000,0.077430,0.078480,false
62o,BTN,opening_raise,0.076880,6,1000000,0.000000,0.076358,0.077402,false
72o,BTN,opening_raise,0.072383,6,1000000,0.000000,0.071875,0.072891,false
