hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
K2s,SB,4_bet,0.173470,6,500000,0.000000,0.172420,0.174520,false
Q7s,SB,4_bet,0.170256,6,500000,0.000000,0.169214,0.171298,false
87s,SB,4_bet,0.169682,6,500000,0.000000,0.168642,0.170722,false
A5o,SB,4_bet,0.169396,6,500000,0.000000,0.168356,0.170436,false
A2o,SB,4_bet,0.168638,6,500000,0.000000,0.167600,0.169676,false
A3o,SB,4_bet,0.167824,6,500000,0.000000,0.166788,0.168860,false
JTo,SB,4_bet,0.167638,6,500000,0.000000,0.166603,0.168673,false
A4o,SB,4_bet,0.167272,6,500000,0.000000,0.166237,0.168307,false
A7o,SB,4_bet,0.167200,6,500000,0.000000,0.166166,0.168234,false
44,SB,4_bet,0.166988,6,500000,0.000000,0.165954,0.168022,false
J7s,SB,4_bet,0.166324,6,500000,0.000000,0.165292,0.167356,false
97s,SB,4_bet,0.166232,6,500000,0.000000,0.165200,0.167264,false
T7s,SB,4_bet,0.165736,6,500000,0.000000,0.164705,0.166767,false
K9o,SB,4_bet,0.165030,6,500000,0.000000,0.164001,0.166059,false
Q6s,SB,4_bet,0.163856,6,500000,0.000000,0.162830,0.164882,false
33,SB,4_bet,0.161904,6,500000,0.000000,0.160883,0.162925,false
Q5s,SB,4_bet,0.161798,6,500000,0.000000,0.160777,0.162819,false
Q9o,SB,4_bet,0.159888,6,500000,0.000000,0.158872,0.160904,false
Q4s,SB,4_bet,0.159540,6,500000,0.000000,0.158525,0.160555,false
Q3s,SB,4_bet,0.159272,6,500000,0.000000,0.158258,0.160286,false
A6o,SB,4_bet,0.159186,6,500000,0.000000,0.158172,0.160200,false
Q2s,SB,4_bet,0.158774,6,500000,0.000000,0.157761,0.159787,false
22,SB,4_bet,0.156842,6,500000,0.000000,0.155834,0.157850,false
J9o,SB,4_bet,0.156678,6,500000,0.000000,0.155670,0.157686,false
T9o,SB,4_bet,0.156194,6,500000,0.000000,0.155188,0.157200,false
86s,SB,4_bet,0.154340,6,500000,0.000000,0.153339,0.155341,false
76s,SB,4_bet,0.152588,6,500000,0.000000,0.151591,0.153585,false
K8o,SB,4_bet,0.152518,6,500000,0.000000,0.151521,0.153515,false
96s,SB,4_bet,0.151844,6,500000,0.000000,0.150849,0.152839,false
Q8o,SB,4_bet,0.150820,6,500000,0.000000,0.149828,0.151812,false
54s,SB,4_bet,0.150394,6,500000,0.000000,0.149403,0.151385,false
J6s,SB,4_bet,0.150250,6,500000,0.000000,0.149260,0.151240,false
65s,SB,4_bet,0.150174,6,500000,0.000000,0.149184,0.151164,false
98o,SB,4_bet,0.149716,6,500000,0.000000,0.148727,0.150705,false
J5s,SB,4_bet,0.149488,6,500000,0.000000,0.148500,0.150476,false
T6s,SB,4_bet,0.149330,6,500000,0.000000,0.148342,0.150318,false
J8o,SB,4_bet,0.149188,6,500000,0.000000,0.148200,0.150176,false
T8o,SB,4_bet,0.149134,6,500000,0.000000,0.148147,0.150121,false
75s,SB,4_bet,0.148022,6,500000,0.000000,0.147038,0.149006,false
J4s,SB,4_bet,0.147086,6,500000,0.000000,0.146104,0.148068,false
J3s,SB,4_bet,0.146856,6,500000,0.000000,0.145875,0.147837,false
J2s,SB,4_bet,0.145890,6,500000,0.000000,0.144912,0.146868,false
85s,SB,4_bet,0.144658,6,500000,0.000000,0.143683,0.145633,false
K7o,SB,4_bet,0.143924,6,500000,0.000000,0.142951,0.144897,false
64s,SB,4_bet,0.140554,6,500000,0.000000,0.139591,0.141517,false
53s,SB,4_bet,0.140306,6,500000,0.000000,0.139343,0.141269,false
95s,SB,4_bet,0.139356,6,500000,0.000000,0.138396,0.140316,false
T5s,SB,4_bet,0.138836,6,500000,0.000000,0.137878,0.139794,false
K6o,SB,4_bet,0.137564,6,500000,0.000000,0.136609,0.138519,false
43s,SB,4_bet,0.137160,6,500000,0.000000,0.136206,0.138114,false
74s,SB,4_bet,0.136374,6,500000,0.000000,0.135423,0.137325,false
T3s,SB,4_bet,0.136140,6,500000,0.000000,0.135189,0.137091,false
T4s,SB,4_bet,0.136042,6,500000,0.000000,0.135092,0.136992,false
T2s,SB,4_bet,0.134190,6,500000,0.000000,0.133245,0.135135,false
K5o,SB,4_bet,0.133642,6,500000,0.000000,0.132699,0.134585,false
84s,SB,4_bet,0.132352,6,500000,0.000000,0.131413,0.133291,false
87o,SB,4_bet,0.131720,6,500000,0.000000,0.130783,0.132657,false
K4o,SB,4_bet,0.131550,6,500000,0.000000,0.130613,0.132487,false
52s,SB,4_bet,0.130920,6,500000,0.000000,0.129985,0.131855,false
K2o,SB,4_bet,0.129958,6,500000,0.000000,0.129026,0.130890,false
