hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
AA,BTN,opening_raise,0.337448,9,500000,0.000000,0.336137,0.338759,true
KK,BTN,opening_raise,0.287738,9,500000,0.000000,0.286483,0.288993,true
QQ,BTN,opening_raise,0.249982,9,500000,0.000000,0.248782,0.251182,true
JJ,BTN,opening_raise,0.219244,9,500000,0.000000,0.218097,0.220391,true
AKs,BTN,opening_raise,0.202078,9,500000,0.000000,0.200965,0.203191,true
TT,BTN,opening_raise,0.193048,9,500000,0.000000,0.191954,0.194142,true
AQs,BTN,opening_raise,0.187522,9,500000,0.000000,0.186440,0.188604,true
AJs,BTN,opening_raise,0.174558,9,500000,0.000000,0.173506,0.175610,true
99,BTN,opening_raise,0.171472,9,500000,0.000000,0.170427,0.172517,true
KQs,BTN,opening_raise,0.167524,9,500000,0.000000,0.166489,0.168559,true
AKo,BTN,opening_raise,0.165928,9,500000,0.000000,0.164897,0.166959,true
ATs,BTN,opening_raise,0.164806,9,500000,0.000000,0.163778,0.165834,true
KJs,BTN,opening_raise,0.156970,9,500000,0.000000,0.155962,0.157978,true
A9s,BTN,opening_raise,0.155802,9,500000,0.000000,0.154797,0.156807,true
88,BTN,opening_raise,0.154834,9,500000,0.000000,0.153831,0.155837,true
QJs,BTN,opening_raise,0.152586,9,500000,0.000000,0.151589,0.153583,true
A2s,BTN,opening_raise,0.151718,9,500000,0.000000,0.150724,0.152712,true
A3s,BTN,opening_raise,0.150636,9,500000,0.000000,0.149645,0.151627,true
A4s,BTN,opening_raise,0.150320,9,500000,0.000000,0.149329,0.151311,true
AQo,BTN,opening_raise,0.149438,9,500000,0.000000,0.148450,0.150426,true
A5s,BTN,opening_raise,0.148726,9,500000,0.000000,0.147740,0.149712,true
A8s,BTN,opening_raise,0.148154,9,500000,0.000000,0.147169,0.149139,true
KTs,BTN,opening_raise,0.146680,9,500000,0.000000,0.145699,0.147661,true
A7s,BTN,opening_raise,0.144424,9,500000,0.000000,0.143450,0.145398,true
77,BTN,opening_raise,0.144202,9,500000,0.000000,0.143228,0.145176,true
QTs,BTN,opening_raise,0.143766,9,500000,0.000000,0.142793,0.144739,true
JTs,BTN,opening_raise,0.142062,9,500000,0.000000,0.141094,0.143030,true
A6s,BTN,opening_raise,0.140798,9,500000,0.000000,0.139834,0.141762,true
K9s,BTN,opening_raise,0.139336,9,500000,0.000000,0.138376,0.140296,true
Q9s,BTN,opening_raise,0.137520,9,500000,0.000000,0.136565,0.138475,true
98s,BTN,opening_raise,0.136688,9,500000,0.000000,0.135736,0.137640,true
T9s,BTN,opening_raise,0.136462,9,500000,0.000000,0.135510,0.137414,true
AJo,BTN,opening_raise,0.135630,9,500000,0.000000,0.134681,0.136579,true
J9s,BTN,opening_raise,0.135514,9,500000,0.000000,0.134565,0.136463,true
66,BTN,opening_raise,0.134902,9,500000,0.000000,0.133955,0.135849,true
Q8s,BTN,opening_raise,0.133488,9,500000,0.000000,0.132545,0.134431,true
K8s,BTN,opening_raise,0.132686,9,500000,0.000000,0.131746,0.133626,true
J8s,BTN,opening_raise,0.132570,9,500000,0.000000,0.131630,0.133510,true
T8s,BTN,opening_raise,0.132212,9,500000,0.000000,0.131273,0.133151,true
55,BTN,opening_raise,0.130782,9,500000,0.000000,0.129847,0.131717,true
KQo,BTN,opening_raise,0.130576,9,500000,0.000000,0.129642,0.131510,true
44,BTN,opening_raise,0.128690,9,500000,0.000000,0.127762,0.129618,true
33,BTN,opening_raise,0.127650,9,500000,0.000000,0.126725,0.128575,true
22,BTN,opening_raise,0.127640,9,500000,0.000000,0.126715,0.128565,true
K7s,BTN,opening_raise,0.127340,9,500000,0.000000,0.126416,0.128264,true
K6s,BTN,opening_raise,0.125286,9,500000,0.000000,0.124368,0.126204,true
87s,BTN,opening_raise,0.124596,9,500000,0.000000,0.123681,0.125511,true
ATo,BTN,opening_raise,0.123588,9,500000,0.000000,0.122676,0.124500,true
K5s,BTN,opening_raise,0.122516,9,500000,0.000000,0.121607,0.123425,true
97s,BTN,opening_raise,0.121956,9,500000,0.000000,0.121049,0.122863,true
K2s,BTN,opening_raise,0.121532,9,500000,0.000000,0.120626,0.122438,true
K4s,BTN,opening_raise,0.121418,9,500000,0.000000,0.120513,0.122323,true
K3s,BTN,opening_raise,0.121348,9,500000,0.000000,0.120443,0.122253,true
KJo,BTN,opening_raise,0.118230,9,500000,0.000000,0.117335,0.119125,true
T7s,BTN,opening_raise,0.117586,9,500000,0.000000,0.116693,0.118479,true
Q7s,BTN,opening_raise,0.117054,9,500000,0.000000,0.116163,0.117945,true
QJo,BTN,opening_raise,0.115594,9,500000,0.000000,0.114708,0.116480,true
54s,BTN,opening_raise,0.115012,9,500000,0.000000,0.114128,0.115896,true
J7s,BTN,opening_raise,0.114868,9,500000,0.000000,0.113984,0.115752,true
Q6s,BTN,opening_raise,0.113728,9,500000,0.000000,0.112848,0.114608,true
86s,BTN,opening_raise,0.113516,9,500000,0.000000,0.112637,0.114395,true
A9o,BTN,opening_raise,0.112956,9,500000,0.000000,0.112079,0.113833,true
Q5s,BTN,opening_raise,0.112484,9,500000,0.000000,0.111608,0.113360,true
65s,BTN,opening_raise,0.112348,9,500000,0.000000,0.111473,0.113223,true
76s,BTN,opening_raise,0.111744,9,500000,0.000000,0.110871,0.112617,true
Q4s,BTN,opening_raise,0.111452,9,500000,0.000000,0.110580,0.112324,false
Q2s,BTN,opening_raise,0.110644,9,500000,0.000000,0.109774,0.111514,false
Q3s,BTN,opening_raise,0.110146,9,500000,0.000000,0.109278,0.111014,false
75s,BTN,opening_raise,0.109640,9,500000,0.000000,0.108774,0.110506,true
96s,BTN,opening_raise,0.109612,9,500000,0.000000,0.108746,0.110478,true
A2o,BTN,opening_raise,0.107734,9,500000,0.000000,0.106875,0.108593,true
A3o,BTN,opening_raise,0.107072,9,500000,0.000000,0.106215,0.107929,true
53s,BTN,opening_raise,0.106674,9,500000,0.000000,0.105818,0.107530,true
QTo,BTN,opening_raise,0.106668,9,500000,0.000000,0.105812,0.107524,true
A4o,BTN,opening_raise,0.106666,9,500000,0.000000,0.105810,0.107522,true
A5o,BTN,opening_raise,0.106654,9,500000,0.000000,0.105798,0.107510,true
T6s,BTN,opening_raise,0.105608,9,500000,0.000000,0.104756,0.106460,false
KTo,BTN,opening_raise,0.105146,9,500000,0.000000,0.104296,0.105996,true
A8o,BTN,opening_raise,0.105036,9,500000,0.000000,0.104186,0.105886,true
85s,BTN,opening_raise,0.104824,9,500000,0.000000,0.103975,0.105673,true
64s,BTN,opening_raise,0.104596,9,500000,0.000000,0.103748,0.105444,true
JTo,BTN,opening_raise,0.104442,9,500000,0.000000,0.103594,0.105290,true
J6s,BTN,opening_raise,0.104236,9,500000,0.000000,0.103389,0.105083,false
43s,BTN,opening_raise,0.103776,9,500000,0.000000,0.102931,0.104621,true
J5s,BTN,opening_raise,0.102558,9,500000,0.000000,0.101717,0.103399,false
J2s,BTN,opening_raise,0.102338,9,500000,0.000000,0.101498,0.103178,false
J4s,BTN,opening_raise,0.102236,9,500000,0.000000,0.101396,0.103076,false
J3s,BTN,opening_raise,0.101692,9,500000,0.000000,0.100854,0.102530,false
98o,BTN,opening_raise,0.101610,9,500000,0.000000,0.100773,0.102447,true
A7o,BTN,opening_raise,0.101094,9,500000,0.000000,0.100258,0.101930,true
T9o,BTN,opening_raise,0.100882,9,500000,0.000000,0.100047,0.101717,true
74s,BTN,opening_raise,0.100338,9,500000,0.000000,0.099505,0.101171,true
95s,BTN,opening_raise,0.099280,9,500000,0.000000,0.098451,0.100109,false
52s,BTN,opening_raise,0.098564,9,500000,0.000000,0.097738,0.099390,false
J9o,BTN,opening_raise,0.098188,9,500000,0.000000,0.097363,0.099013,true
Q9o,BTN,opening_raise,0.098176,9,500000,0.000000,0.097351,0.099001,true
42s,BTN,opening_raise,0.098152,9,500000,0.000000,0.097327,0.098977,false
K9o,BTN,opening_raise,0.097212,9,500000,0.000000,0.096391,0.098033,true
T5s,BTN,opening_raise,0.097140,9,500000,0.000000,0.096319,0.097961,false
T8o,BTN,opening_raise,0.096054,9,500000,0.000000,0.095237,0.096871,true
A6o,BTN,opening_raise,0.095982,9,500000,0.000000,0.095166,0.096798,true
63s,BTN,opening_raise,0.095702,9,500000,0.000000,0.094887,0.096517,false
32s,BTN,opening_raise,0.095626,9,500000,0.000000,0.094811,0.096441,false
T4s,BTN,opening_raise,0.095216,9,500000,0.000000,0.094402,0.096030,false
84s,BTN,opening_raise,0.095190,9,500000,0.000000,0.094377,0.096003,false
T2s,BTN,opening_raise,0.094880,9,500000,0.000000,0.094068,0.095692,false
T3s,BTN,opening_raise,0.094626,9,500000,0.000000,0.093815,0.095437,false
J8o,BTN,opening_raise,0.093378,9,500000,0.000000,0.092571,0.094185,true
Q8o,BTN,opening_raise,0.092106,9,500000,0.000000,0.091304,0.092908,true
73s,BTN,opening_raise,0.091388,9,500000,0.000000,0.090589,0.092187,false
93s,BTN,opening_raise,0.090744,9,500000,0.000000,0.089948,0.091540,false
94s,BTN,opening_raise,0.090376,9,500000,0.000000,0.089581,0.091171,false
K8o,BTN,opening_raise,0.089740,9,500000,0.000000,0.088948,0.090532,true
92s,BTN,opening_raise,0.089410,9,500000,0.000000,0.088619,0.090201,false
87o,BTN,opening_raise,0.088728,9,500000,0.000000,0.087940,0.089516,true
62s,BTN,opening_raise,0.087584,9,500000,0.000000,0.086800,0.088368,false
82s,BTN,opening_raise,0.086964,9,500000,0.000000,0.086183,0.087745,false
83s,BTN,opening_raise,0.086508,9,500000,0.000000,0.085729,0.087287,false
K7o,BTN,opening_raise,0.085982,9,500000,0.000000,0.085205,0.086759,true
72s,BTN,opening_raise,0.084170,9,500000,0.000000,0.083400,0.084940,false
97o,BTN,opening_raise,0.083480,9,500000,0.000000,0.082713,0.084247,false
K6o,BTN,opening_raise,0.081170,9,500000,0.000000,0.080413,0.081927,true
K5o,BTN,opening_raise,0.078922,9,500000,0.000000,0.078175,0.079669,true
54o,BTN,opening_raise,0.078788,9,500000,0.000000,0.078041,0.079535,false
T7o,BTN,opening_raise,0.078616,9,500000,0.000000,0.077870,0.079362,false
K2o,BTN,opening_raise,0.078330,9,500000,0.000000,0.077585,0.079075,true
K4o,BTN,opening_raise,0.078160,9,500000,0.000000,0.077416,0.078904,true
K3o,BTN,opening_raise,0.077634,9,500000,0.000000,0.076892,0.078376,true
J7o,BTN,opening_raise,0.076040,9,500000,0.000000,0.075305,0.076775,false
Q7o,BTN,opening_raise,0.075982,9,500000,0.000000,0.075248,0.076716,false
86o,BTN,opening_raise,0.075846,9,500000,0.000000,0.075112,0.076580,false
65o,BTN,opening_raise,0.075326,9,500000,0.000000,0.074594,0.076058,false
76o,BTN,opening_raise,0.074792,9,500000,0.000000,0.074063,0.075521,false
75o,BTN,opening_raise,0.072824,9,500000,0.000000,0.072104,0.073544,false
Q6o,BTN,opening_raise,0.071670,9,500000,0.000000,0.070955,0.072385,false
53o,BTN,opening_raise,0.071148,9,500000,0.000000,0.070435,0.071861,false
96o,BTN,opening_raise,0.070212,9,500000,0.000000,0.069504,0.070920,false
Q5o,BTN,opening_raise,0.068454,9,500000,0.000000,0.067754,0.069154,false
64o,BTN,opening_raise,0.068368,9,500000,0.000000,0.067668,0.069068,false
Q2o,BTN,opening_raise,0.068026,9,500000,0.000000,0.067328,0.068724,false
Q4o,BTN,opening_raise,0.067612,9,500000,0.000000,0.066916,0.068308,false
Q3o,BTN,opening_raise,0.067224,9,500000,0.000000,0.066530,0.067918,false
