hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
QTs,CO,4_bet,0.209534,6,500000,0.000000,0.208406,0.210662,false
A7s,CO,4_bet,0.209374,6,500000,0.000000,0.208246,0.210502,false
KQo,CO,4_bet,0.207558,6,500000,0.000000,0.206434,0.208682,false
77,CO,4_bet,0.206972,6,500000,0.000000,0.205849,0.208095,false
JTs,CO,4_bet,0.203778,6,500000,0.000000,0.202661,0.204895,false
K9s,CO,4_bet,0.203346,6,500000,0.000000,0.202230,0.204462,false
A6s,CO,4_bet,0.202136,6,500000,0.000000,0.201023,0.203249,false
ATo,CO,4_bet,0.201798,6,500000,0.000000,0.200686,0.202910,false
Q9s,CO,4_bet,0.198902,6,500000,0.000000,0.197796,0.200008,false
J9s,CO,4_bet,0.194558,6,500000,0.000000,0.193461,0.195655,false
K8s,CO,4_bet,0.193040,6,500000,0.000000,0.191946,0.194134,false
T9s,CO,4_bet,0.192552,6,500000,0.000000,0.191459,0.193645,false
KJo,CO,4_bet,0.191416,6,500000,0.000000,0.190326,0.192506,false
Q8s,CO,4_bet,0.189698,6,500000,0.000000,0.188611,0.190785,false
J8s,CO,4_bet,0.187648,6,500000,0.000000,0.186566,0.188730,false
A9o,CO,4_bet,0.187624,6,500000,0.000000,0.186542,0.188706,false
66,CO,4_bet,0.187580,6,500000,0.000000,0.186498,0.188662,false
98s,CO,4_bet,0.186736,6,500000,0.000000,0.185656,0.187816,false
T8s,CO,4_bet,0.185754,6,500000,0.000000,0.184676,0.186832,false
QJo,CO,4_bet,0.185470,6,500000,0.000000,0.184393,0.186547,false
K7s,CO,4_bet,0.184728,6,500000,0.000000,0.183652,0.185804,false
K6s,CO,4_bet,0.179776,6,500000,0.000000,0.178712,0.180840,false
A8o,CO,4_bet,0.177016,6,500000,0.000000,0.175958,0.178074,false
KTo,CO,4_bet,0.176484,6,500000,0.000000,0.175427,0.177541,false
K5s,CO,4_bet,0.176140,6,500000,0.000000,0.175084,0.177196,false
55,CO,4_bet,0.175874,6,500000,0.000000,0.174819,0.176929,false
K4s,CO,4_bet,0.174896,6,500000,0.000000,0.173843,0.175949,false
K3s,CO,4_bet,0.173838,6,500000,0.000000,0.172788,0.174888,false
QTo,CO,4_bet,0.173764,6,500000,0.000000,0.172714,0.174814,false
K2s,CO,4_bet,0.173470,6,500000,0.000000,0.172420,0.174520,false
Q7s,CO,4_bet,0.170256,6,500000,0.000000,0.169214,0.171298,false
87s,CO,4_bet,0.169682,6,500000,0.000000,0.168642,0.170722,false
A5o,CO,4_bet,0.169396,6,500000,0.000000,0.168356,0.170436,false
A2o,CO,4_bet,0.168638,6,500000,0.000000,0.167600,0.169676,false
A3o,CO,4_bet,0.167824,6,500000,0.000000,0.166788,0.168860,false
JTo,CO,4_bet,0.167638,6,500000,0.000000,0.166603,0.168673,false
A4o,CO,4_bet,0.167272,6,500000,0.000000,0.166237,0.168307,false
A7o,CO,4_bet,0.167200,6,500000,0.000000,0.166166,0.168234,false
44,CO,4_bet,0.166988,6,500000,0.000000,0.165954,0.168022,false
J7s,CO,4_bet,0.166324,6,500000,0.000000,0.165292,0.167356,false
97s,CO,4_bet,0.166232,6,500000,0.000000,0.165200,0.167264,false
T7s,CO,4_bet,0.165736,6,500000,0.000000,0.164705,0.166767,false
K9o,CO,4_bet,0.165030,6,500000,0.000000,0.164001,0.166059,false
Q6s,CO,4_bet,0.163856,6,500000,0.000000,0.162830,0.164882,false
33,CO,4_bet,0.161904,6,500000,0.000000,0.160883,0.162925,false
Q5s,CO,4_bet,0.161798,6,500000,0.000000,0.160777,0.162819,false
Q9o,CO,4_bet,0.159888,6,500000,0.000000,0.158872,0.160904,false
Q4s,CO,4_bet,0.159540,6,500000,0.000000,0.158525,0.160555,false
Q3s,CO,4_bet,0.159272,6,500000,0.000000,0.158258,0.160286,false
A6o,CO,4_bet,0.159186,6,500000,0.000000,0.158172,0.160200,false
Q2s,CO,4_bet,0.158774,6,500000,0.000000,0.157761,0.159787,false
22,CO,4_bet,0.156842,6,500000,0.000000,0.155834,0.157850,false
J9o,CO,4_bet,0.156678,6,500000,0.000000,0.155670,0.157686,false
