hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
AA,BTN,4_bet,0.337448,9,500000,0.000000,0.336137,0.338759,true
KK,BTN,4_bet,0.287738,9,500000,0.000000,0.286483,0.288993,true
QQ,BTN,4_bet,0.249982,9,500000,0.000000,0.248782,0.251182,true
JJ,BTN,4_bet,0.219244,9,500000,0.000000,0.218097,0.220391,false
AKs,BTN,4_bet,0.202078,9,500000,0.000000,0.200965,0.203191,true
TT,BTN,4_bet,0.193048,9,500000,0.000000,0.191954,0.194142,false
AQs,BTN,4_bet,0.187522,9,500000,0.000000,0.186440,0.188604,false
AJs,BTN,4_bet,0.174558,9,500000,0.000000,0.173506,0.175610,false
99,BTN,4_bet,0.171472,9,500000,0.000000,0.170427,0.172517,false
KQs,BTN,4_bet,0.167524,9,500000,0.000000,0.166489,0.168559,false
AKo,BTN,4_bet,0.165928,9,500000,0.000000,0.164897,0.166959,true
ATs,BTN,4_bet,0.164806,9,500000,0.000000,0.163778,0.165834,false
KJs,BTN,4_bet,0.156970,9,500000,0.000000,0.155962,0.157978,false
A9s,BTN,4_bet,0.155802,9,500000,0.000000,0.154797,0.156807,false
88,BTN,4_bet,0.154834,9,500000,0.000000,0.153831,0.155837,false
QJs,BTN,4_bet,0.152586,9,500000,0.000000,0.151589,0.153583,false
A2s,BTN,4_bet,0.151718,9,500000,0.000000,0.150724,0.152712,false
A3s,BTN,4_bet,0.150636,9,500000,0.000000,0.149645,0.151627,false
A4s,BTN,4_bet,0.150320,9,500000,0.000000,0.149329,0.151311,false
AQo,BTN,4_bet,0.149438,9,500000,0.000000,0.148450,0.150426,false
A5s,BTN,4_bet,0.148726,9,500000,0.000000,0.147740,0.149712,true
A8s,BTN,4_bet,0.148154,9,500000,0.000000,0.147169,0.149139,false
KTs,BTN,4_bet,0.146680,9,500000,0.000000,0.145699,0.147661,false
A7s,BTN,4_bet,0.144424,9,500000,0.000000,0.143450,0.145398,false
77,BTN,4_bet,0.144202,9,500000,0.000000,0.143228,0.145176,false
QTs,BTN,4_bet,0.143766,9,500000,0.000000,0.142793,0.144739,false
JTs,BTN,4_bet,0.142062,9,500000,0.000000,0.141094,0.143030,false
A6s,BTN,4_bet,0.140798,9,500000,0.000000,0.139834,0.141762,false
K9s,BTN,4_bet,0.139336,9,500000,0.000000,0.138376,0.140296,false
Q9s,BTN,4_bet,0.137520,9,500000,0.000000,0.136565,0.138475,false
98s,BTN,4_bet,0.136688,9,500000,0.000000,0.135736,0.137640,false
T9s,BTN,4_bet,0.136462,9,500000,0.000000,0.135510,0.137414,false
AJo,BTN,4_bet,0.135630,9,500000,0.000000,0.134681,0.136579,false
J9s,BTN,4_bet,0.135514,9,500000,0.000000,0.134565,0.136463,false
66,BTN,4_bet,0.134902,9,500000,0.000000,0.133955,0.135849,false
Q8s,BTN,4_bet,0.133488,9,500000,0.000000,0.132545,0.134431,false
K8s,BTN,4_bet,0.132686,9,500000,0.000000,0.131746,0.133626,false
J8s,BTN,4_bet,0.132570,9,500000,0.000000,0.131630,0.133510,false
T8s,BTN,4_bet,0.132212,9,500000,0.000000,0.131273,0.133151,false
55,BTN,4_bet,0.130782,9,500000,0.000000,0.129847,0.131717,false
KQo,BTN,4_bet,0.130576,9,500000,0.000000,0.129642,0.131510,false
44,BTN,4_bet,0.128690,9,500000,0.000000,0.127762,0.129618,false
33,BTN,4_bet,0.127650,9,500000,0.000000,0.126725,0.128575,false
22,BTN,4_bet,0.127640,9,500000,0.000000,0.126715,0.128565,false
